 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
110.0 	 260.0 	 -300.0     	   -300.0     	    -150.561
110.0 	 270.0 	 -300.0     	   -300.0     	    -150.561
110.0 	 280.0 	 -300.0     	   -300.0     	    -150.5611
110.0 	 290.0 	 -300.0     	   -300.0     	    -150.5611
110.0 	 300.0 	 -300.0     	   -300.0     	    -150.5611
110.0 	 310.0 	 -300.0     	   -300.0     	    -150.5612
110.0 	 320.0 	 -300.0     	   -300.0     	    -150.5612
110.0 	 330.0 	 -300.0     	   -300.0     	    -150.5612
110.0 	 340.0 	 -300.0     	   -300.0     	    -150.5613
110.0 	 350.0 	 -300.0     	   -300.0     	    -150.5614
110.0 	 360.0 	 -300.0     	   -300.0     	    -150.5614
120.0 	 0.0 	 -300.0     	   -300.0     	    -150.5614
120.0 	 10.0 	 -300.0     	   -300.0     	    -150.5615
120.0 	 20.0 	 -300.0     	   -300.0     	    -150.5615
120.0 	 30.0 	 -300.0     	   -300.0     	    -150.5616
120.0 	 40.0 	 -300.0     	   -300.0     	    -150.5616
120.0 	 50.0 	 -300.0     	   -300.0     	    -150.5617
120.0 	 60.0 	 -300.0     	   -300.0     	    -150.5617
120.0 	 70.0 	 -300.0     	   -300.0     	    -150.5618
120.0 	 80.0 	 -300.0     	   -300.0     	    -150.5618
120.0 	 90.0 	 -300.0     	   -300.0     	    -150.5618
120.0 	 100.0 	 -300.0     	   -300.0     	    -150.5618
120.0 	 110.0 	 -300.0     	   -300.0     	    -150.5617
120.0 	 120.0 	 -300.0     	   -300.0     	    -150.5617
120.0 	 130.0 	 -300.0     	   -300.0     	    -150.5617
120.0 	 140.0 	 -300.0     	   -300.0     	    -150.5616
120.0 	 150.0 	 -300.0     	   -300.0     	    -150.5616
120.0 	 160.0 	 -300.0     	   -300.0     	    -150.5615
120.0 	 170.0 	 -300.0     	   -300.0     	    -150.5614
120.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
120.0 	 190.0 	 -300.0     	   -300.0     	    -150.5613
120.0 	 200.0 	 -300.0     	   -300.0     	    -150.5612
120.0 	 210.0 	 -300.0     	   -300.0     	    -150.5612
120.0 	 220.0 	 -300.0     	   -300.0     	    -150.5611
120.0 	 230.0 	 -300.0     	   -300.0     	    -150.5611
120.0 	 240.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 250.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 260.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 270.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 280.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 290.0 	 -300.0     	   -300.0     	    -150.561
120.0 	 300.0 	 -300.0     	   -300.0     	    -150.5611
120.0 	 310.0 	 -300.0     	   -300.0     	    -150.5611
120.0 	 320.0 	 -300.0     	   -300.0     	    -150.5612
120.0 	 330.0 	 -300.0     	   -300.0     	    -150.5612
120.0 	 340.0 	 -300.0     	   -300.0     	    -150.5613
120.0 	 350.0 	 -300.0     	   -300.0     	    -150.5613
120.0 	 360.0 	 -300.0     	   -300.0     	    -150.5614
130.0 	 0.0 	 -300.0     	   -300.0     	    -150.5614
130.0 	 10.0 	 -300.0     	   -300.0     	    -150.5615
130.0 	 20.0 	 -300.0     	   -300.0     	    -150.5616
130.0 	 30.0 	 -300.0     	   -300.0     	    -150.5616
130.0 	 40.0 	 -300.0     	   -300.0     	    -150.5617
130.0 	 50.0 	 -300.0     	   -300.0     	    -150.5617
130.0 	 60.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 70.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 80.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 90.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 100.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 110.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 120.0 	 -300.0     	   -300.0     	    -150.5618
130.0 	 130.0 	 -300.0     	   -300.0     	    -150.5617
130.0 	 140.0 	 -300.0     	   -300.0     	    -150.5617
130.0 	 150.0 	 -300.0     	   -300.0     	    -150.5616
130.0 	 160.0 	 -300.0     	   -300.0     	    -150.5615
130.0 	 170.0 	 -300.0     	   -300.0     	    -150.5614
130.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
130.0 	 190.0 	 -300.0     	   -300.0     	    -150.5613
130.0 	 200.0 	 -300.0     	   -300.0     	    -150.5612
130.0 	 210.0 	 -300.0     	   -300.0     	    -150.5611
130.0 	 220.0 	 -300.0     	   -300.0     	    -150.5611
130.0 	 230.0 	 -300.0     	   -300.0     	    -150.561
130.0 	 240.0 	 -300.0     	   -300.0     	    -150.561
130.0 	 250.0 	 -300.0     	   -300.0     	    -150.561
130.0 	 260.0 	 -300.0     	   -300.0     	    -150.5609
130.0 	 270.0 	 -300.0     	   -300.0     	    -150.5609
130.0 	 280.0 	 -300.0     	   -300.0     	    -150.5609
130.0 	 290.0 	 -300.0     	   -300.0     	    -150.561
130.0 	 300.0 	 -300.0     	   -300.0     	    -150.561
130.0 	 310.0 	 -300.0     	   -300.0     	    -150.5611
130.0 	 320.0 	 -300.0     	   -300.0     	    -150.5611
130.0 	 330.0 	 -300.0     	   -300.0     	    -150.5612
130.0 	 340.0 	 -300.0     	   -300.0     	    -150.5613
130.0 	 350.0 	 -300.0     	   -300.0     	    -150.5613
130.0 	 360.0 	 -300.0     	   -300.0     	    -150.5614
140.0 	 0.0 	 -300.0     	   -300.0     	    -150.5614
140.0 	 10.0 	 -300.0     	   -300.0     	    -150.5615
140.0 	 20.0 	 -300.0     	   -300.0     	    -150.5616
140.0 	 30.0 	 -300.0     	   -300.0     	    -150.5617
140.0 	 40.0 	 -300.0     	   -300.0     	    -150.5618
140.0 	 50.0 	 -300.0     	   -300.0     	    -150.5618
140.0 	 60.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 70.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 80.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 90.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 100.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 110.0 	 -300.0     	   -300.0     	    -150.5619
140.0 	 120.0 	 -300.0     	   -300.0     	    -150.5618
140.0 	 130.0 	 -300.0     	   -300.0     	    -150.5618
140.0 	 140.0 	 -300.0     	   -300.0     	    -150.5617
140.0 	 150.0 	 -300.0     	   -300.0     	    -150.5616
140.0 	 160.0 	 -300.0     	   -300.0     	    -150.5615
140.0 	 170.0 	 -300.0     	   -300.0     	    -150.5615
140.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
140.0 	 190.0 	 -300.0     	   -300.0     	    -150.5613
140.0 	 200.0 	 -300.0     	   -300.0     	    -150.5612
140.0 	 210.0 	 -300.0     	   -300.0     	    -150.5611
140.0 	 220.0 	 -300.0     	   -300.0     	    -150.561
140.0 	 230.0 	 -300.0     	   -300.0     	    -150.561
140.0 	 240.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 250.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 260.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 270.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 280.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 290.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 300.0 	 -300.0     	   -300.0     	    -150.5609
140.0 	 310.0 	 -300.0     	   -300.0     	    -150.561
140.0 	 320.0 	 -300.0     	   -300.0     	    -150.5611
140.0 	 330.0 	 -300.0     	   -300.0     	    -150.5612
140.0 	 340.0 	 -300.0     	   -300.0     	    -150.5612
140.0 	 350.0 	 -300.0     	   -300.0     	    -150.5613
140.0 	 360.0 	 -300.0     	   -300.0     	    -150.5614
150.0 	 0.0 	 -300.0     	   -300.0     	    -150.5615
150.0 	 10.0 	 -300.0     	   -300.0     	    -150.5616
150.0 	 20.0 	 -300.0     	   -300.0     	    -150.5617
150.0 	 30.0 	 -300.0     	   -300.0     	    -150.5618
150.0 	 40.0 	 -300.0     	   -300.0     	    -150.5619
150.0 	 50.0 	 -300.0     	   -300.0     	    -150.562
150.0 	 60.0 	 -300.0     	   -300.0     	    -150.562
150.0 	 70.0 	 -300.0     	   -300.0     	    -150.5621
150.0 	 80.0 	 -300.0     	   -300.0     	    -150.5621
150.0 	 90.0 	 -300.0     	   -300.0     	    -150.5621
150.0 	 100.0 	 -300.0     	   -300.0     	    -150.5621
150.0 	 110.0 	 -300.0     	   -300.0     	    -150.5621
150.0 	 120.0 	 -300.0     	   -300.0     	    -150.562
150.0 	 130.0 	 -300.0     	   -300.0     	    -150.5619
150.0 	 140.0 	 -300.0     	   -300.0     	    -150.5618
150.0 	 150.0 	 -300.0     	   -300.0     	    -150.5617
150.0 	 160.0 	 -300.0     	   -300.0     	    -150.5616
150.0 	 170.0 	 -300.0     	   -300.0     	    -150.5615
150.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
150.0 	 190.0 	 -300.0     	   -300.0     	    -150.5613
150.0 	 200.0 	 -300.0     	   -300.0     	    -150.5612
150.0 	 210.0 	 -300.0     	   -300.0     	    -150.5611
150.0 	 220.0 	 -300.0     	   -300.0     	    -150.561
150.0 	 230.0 	 -300.0     	   -300.0     	    -150.5609
150.0 	 240.0 	 -300.0     	   -300.0     	    -150.5608
150.0 	 250.0 	 -300.0     	   -300.0     	    -150.5608
150.0 	 260.0 	 -300.0     	   -300.0     	    -150.5607
150.0 	 270.0 	 -300.0     	   -300.0     	    -150.5607
150.0 	 280.0 	 -300.0     	   -300.0     	    -150.5607
150.0 	 290.0 	 -300.0     	   -300.0     	    -150.5608
150.0 	 300.0 	 -300.0     	   -300.0     	    -150.5608
150.0 	 310.0 	 -300.0     	   -300.0     	    -150.5609
150.0 	 320.0 	 -300.0     	   -300.0     	    -150.561
150.0 	 330.0 	 -300.0     	   -300.0     	    -150.5611
150.0 	 340.0 	 -300.0     	   -300.0     	    -150.5612
150.0 	 350.0 	 -300.0     	   -300.0     	    -150.5613
150.0 	 360.0 	 -300.0     	   -300.0     	    -150.5615
160.0 	 0.0 	 -300.0     	   -300.0     	    -150.5615
160.0 	 10.0 	 -300.0     	   -300.0     	    -150.5616
160.0 	 20.0 	 -300.0     	   -300.0     	    -150.5618
160.0 	 30.0 	 -300.0     	   -300.0     	    -150.562
160.0 	 40.0 	 -300.0     	   -300.0     	    -150.5621
160.0 	 50.0 	 -300.0     	   -300.0     	    -150.5622
160.0 	 60.0 	 -300.0     	   -300.0     	    -150.5623
160.0 	 70.0 	 -300.0     	   -300.0     	    -150.5624
160.0 	 80.0 	 -300.0     	   -300.0     	    -150.5624
160.0 	 90.0 	 -300.0     	   -300.0     	    -150.5624
160.0 	 100.0 	 -300.0     	   -300.0     	    -150.5624
160.0 	 110.0 	 -300.0     	   -300.0     	    -150.5624
160.0 	 120.0 	 -300.0     	   -300.0     	    -150.5623
160.0 	 130.0 	 -300.0     	   -300.0     	    -150.5622
160.0 	 140.0 	 -300.0     	   -300.0     	    -150.5621
160.0 	 150.0 	 -300.0     	   -300.0     	    -150.5619
160.0 	 160.0 	 -300.0     	   -300.0     	    -150.5617
160.0 	 170.0 	 -300.0     	   -300.0     	    -150.5616
160.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
160.0 	 190.0 	 -300.0     	   -300.0     	    -150.5612
160.0 	 200.0 	 -300.0     	   -300.0     	    -150.5611
160.0 	 210.0 	 -300.0     	   -300.0     	    -150.5609
160.0 	 220.0 	 -300.0     	   -300.0     	    -150.5608
160.0 	 230.0 	 -300.0     	   -300.0     	    -150.5606
160.0 	 240.0 	 -300.0     	   -300.0     	    -150.5605
160.0 	 250.0 	 -300.0     	   -300.0     	    -150.5605
160.0 	 260.0 	 -300.0     	   -300.0     	    -150.5604
160.0 	 270.0 	 -300.0     	   -300.0     	    -150.5604
160.0 	 280.0 	 -300.0     	   -300.0     	    -150.5604
160.0 	 290.0 	 -300.0     	   -300.0     	    -150.5605
160.0 	 300.0 	 -300.0     	   -300.0     	    -150.5606
160.0 	 310.0 	 -300.0     	   -300.0     	    -150.5607
160.0 	 320.0 	 -300.0     	   -300.0     	    -150.5608
160.0 	 330.0 	 -300.0     	   -300.0     	    -150.561
160.0 	 340.0 	 -300.0     	   -300.0     	    -150.5611
160.0 	 350.0 	 -300.0     	   -300.0     	    -150.5613
160.0 	 360.0 	 -300.0     	   -300.0     	    -150.5615
170.0 	 0.0 	 -300.0     	   -300.0     	    -150.5615
170.0 	 10.0 	 -300.0     	   -300.0     	    -150.5619
170.0 	 20.0 	 -300.0     	   -300.0     	    -150.5622
170.0 	 30.0 	 -300.0     	   -300.0     	    -150.5625
170.0 	 40.0 	 -300.0     	   -300.0     	    -150.5628
170.0 	 50.0 	 -300.0     	   -300.0     	    -150.563
170.0 	 60.0 	 -300.0     	   -300.0     	    -150.5632
170.0 	 70.0 	 -300.0     	   -300.0     	    -150.5633
170.0 	 80.0 	 -300.0     	   -300.0     	    -150.5634
170.0 	 90.0 	 -300.0     	   -300.0     	    -150.5634
170.0 	 100.0 	 -300.0     	   -300.0     	    -150.5634
170.0 	 110.0 	 -300.0     	   -300.0     	    -150.5633
170.0 	 120.0 	 -300.0     	   -300.0     	    -150.5631
170.0 	 130.0 	 -300.0     	   -300.0     	    -150.5629
170.0 	 140.0 	 -300.0     	   -300.0     	    -150.5627
170.0 	 150.0 	 -300.0     	   -300.0     	    -150.5624
170.0 	 160.0 	 -300.0     	   -300.0     	    -150.5621
170.0 	 170.0 	 -300.0     	   -300.0     	    -150.5617
170.0 	 180.0 	 -300.0     	   -300.0     	    -150.5614
170.0 	 190.0 	 -300.0     	   -300.0     	    -150.561
170.0 	 200.0 	 -300.0     	   -300.0     	    -150.5607
170.0 	 210.0 	 -300.0     	   -300.0     	    -150.5604
170.0 	 220.0 	 -300.0     	   -300.0     	    -150.5601
170.0 	 230.0 	 -300.0     	   -300.0     	    -150.5599
170.0 	 240.0 	 -300.0     	   -300.0     	    -150.5597
170.0 	 250.0 	 -300.0     	   -300.0     	    -150.5596
170.0 	 260.0 	 -300.0     	   -300.0     	    -150.5595
170.0 	 270.0 	 -300.0     	   -300.0     	    -150.5595
170.0 	 280.0 	 -300.0     	   -300.0     	    -150.5595
170.0 	 290.0 	 -300.0     	   -300.0     	    -150.5596
170.0 	 300.0 	 -300.0     	   -300.0     	    -150.5598
170.0 	 310.0 	 -300.0     	   -300.0     	    -150.56
170.0 	 320.0 	 -300.0     	   -300.0     	    -150.5602
170.0 	 330.0 	 -300.0     	   -300.0     	    -150.5605
170.0 	 340.0 	 -300.0     	   -300.0     	    -150.5608
170.0 	 350.0 	 -300.0     	   -300.0     	    -150.5612
170.0 	 360.0 	 -300.0     	   -300.0     	    -150.5615
180.0 	 0.0 	 -300.0     	   -300.0     	    -174.5734
180.0 	 10.0 	 -300.0     	   -300.0     	    167.5668
180.0 	 20.0 	 -300.0     	   -300.0     	    165.6687
180.0 	 30.0 	 -300.0     	   -300.0     	    164.1879
180.0 	 40.0 	 -300.0     	   -300.0     	    163.6477
180.0 	 50.0 	 -300.0     	   -300.0     	    163.6341
180.0 	 60.0 	 -300.0     	   -300.0     	    163.0557
180.0 	 70.0 	 -300.0     	   -300.0     	    163.1129
180.0 	 80.0 	 -300.0     	   -300.0     	    163.0109
180.0 	 90.0 	 -300.0     	   -300.0     	    162.5628
180.0 	 100.0 	 -300.0     	   -300.0     	    162.4321
180.0 	 110.0 	 -300.0     	   -300.0     	    162.5722
180.0 	 120.0 	 -300.0     	   -300.0     	    162.1872
180.0 	 130.0 	 -300.0     	   -300.0     	    162.3897
180.0 	 140.0 	 -300.0     	   -300.0     	    162.3787
180.0 	 150.0 	 -300.0     	   -300.0     	    161.6416
180.0 	 160.0 	 -300.0     	   -300.0     	    162.0739
180.0 	 170.0 	 -300.0     	   -300.0     	    159.8295
180.0 	 180.0 	 -300.0     	   -300.0     	    -8.772579
180.0 	 190.0 	 -300.0     	   -300.0     	    -17.61602
180.0 	 200.0 	 -300.0     	   -300.0     	    -17.13741
180.0 	 210.0 	 -300.0     	   -300.0     	    -17.47208
180.0 	 220.0 	 -300.0     	   -300.0     	    -18.13049
180.0 	 230.0 	 -300.0     	   -300.0     	    -17.8253
180.0 	 240.0 	 -300.0     	   -300.0     	    -17.96264
180.0 	 250.0 	 -300.0     	   -300.0     	    -18.3378
180.0 	 260.0 	 -300.0     	   -300.0     	    -18.20986
180.0 	 270.0 	 -300.0     	   -300.0     	    -18.62895
180.0 	 280.0 	 -300.0     	   -300.0     	    -18.49414
180.0 	 290.0 	 -300.0     	   -300.0     	    -18.93841
180.0 	 300.0 	 -300.0     	   -300.0     	    -18.89833
180.0 	 310.0 	 -300.0     	   -300.0     	    -19.56305
180.0 	 320.0 	 -300.0     	   -300.0     	    -20.07708
180.0 	 330.0 	 -300.0     	   -300.0     	    -20.36924
180.0 	 340.0 	 -300.0     	   -300.0     	    -21.90445
180.0 	 350.0 	 -300.0     	   -300.0     	    -30.05938
180.0 	 360.0 	 -300.0     	   -300.0     	    -174.5733
