 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
20.0 	 130.0 	 -300.0     	   -300.0     	    -150.563
20.0 	 140.0 	 -300.0     	   -300.0     	    -150.5629
20.0 	 150.0 	 -300.0     	   -300.0     	    -150.5627
20.0 	 160.0 	 -300.0     	   -300.0     	    -150.5625
20.0 	 170.0 	 -300.0     	   -300.0     	    -150.5624
20.0 	 180.0 	 -300.0     	   -300.0     	    -150.5622
20.0 	 190.0 	 -300.0     	   -300.0     	    -150.562
20.0 	 200.0 	 -300.0     	   -300.0     	    -150.5619
20.0 	 210.0 	 -300.0     	   -300.0     	    -150.5617
20.0 	 220.0 	 -300.0     	   -300.0     	    -150.5616
20.0 	 230.0 	 -300.0     	   -300.0     	    -150.5615
20.0 	 240.0 	 -300.0     	   -300.0     	    -150.5614
20.0 	 250.0 	 -300.0     	   -300.0     	    -150.5614
20.0 	 260.0 	 -300.0     	   -300.0     	    -150.5613
20.0 	 270.0 	 -300.0     	   -300.0     	    -150.5614
20.0 	 280.0 	 -300.0     	   -300.0     	    -150.5614
20.0 	 290.0 	 -300.0     	   -300.0     	    -150.5615
20.0 	 300.0 	 -300.0     	   -300.0     	    -150.5616
20.0 	 310.0 	 -300.0     	   -300.0     	    -150.5617
20.0 	 320.0 	 -300.0     	   -300.0     	    -150.5618
20.0 	 330.0 	 -300.0     	   -300.0     	    -150.562
20.0 	 340.0 	 -300.0     	   -300.0     	    -150.5621
20.0 	 350.0 	 -300.0     	   -300.0     	    -150.5623
20.0 	 360.0 	 -300.0     	   -300.0     	    -150.5625
30.0 	 0.0 	 -300.0     	   -300.0     	    -150.5624
30.0 	 10.0 	 -300.0     	   -300.0     	    -150.5625
30.0 	 20.0 	 -300.0     	   -300.0     	    -150.5626
30.0 	 30.0 	 -300.0     	   -300.0     	    -150.5627
30.0 	 40.0 	 -300.0     	   -300.0     	    -150.5628
30.0 	 50.0 	 -300.0     	   -300.0     	    -150.5629
30.0 	 60.0 	 -300.0     	   -300.0     	    -150.5629
30.0 	 70.0 	 -300.0     	   -300.0     	    -150.5629
30.0 	 80.0 	 -300.0     	   -300.0     	    -150.563
30.0 	 90.0 	 -300.0     	   -300.0     	    -150.563
30.0 	 100.0 	 -300.0     	   -300.0     	    -150.5629
30.0 	 110.0 	 -300.0     	   -300.0     	    -150.5629
30.0 	 120.0 	 -300.0     	   -300.0     	    -150.5628
30.0 	 130.0 	 -300.0     	   -300.0     	    -150.5627
30.0 	 140.0 	 -300.0     	   -300.0     	    -150.5626
30.0 	 150.0 	 -300.0     	   -300.0     	    -150.5625
30.0 	 160.0 	 -300.0     	   -300.0     	    -150.5624
30.0 	 170.0 	 -300.0     	   -300.0     	    -150.5623
30.0 	 180.0 	 -300.0     	   -300.0     	    -150.5622
30.0 	 190.0 	 -300.0     	   -300.0     	    -150.5621
30.0 	 200.0 	 -300.0     	   -300.0     	    -150.562
30.0 	 210.0 	 -300.0     	   -300.0     	    -150.5619
30.0 	 220.0 	 -300.0     	   -300.0     	    -150.5618
30.0 	 230.0 	 -300.0     	   -300.0     	    -150.5617
30.0 	 240.0 	 -300.0     	   -300.0     	    -150.5617
30.0 	 250.0 	 -300.0     	   -300.0     	    -150.5616
